2023-08-31 16:51:06	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='cotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-gaussian_noise-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='gaussian_noise', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HomogeneousNoMixture(has_mixture=False), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-08-31 16:51:13		initialize selection method=last_iterate.
2023-08-31 16:51:13		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:51:16		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:51:16		initialize selection method=last_iterate.
2023-08-31 16:51:16		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:51:20		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:51:20		initialize selection method=last_iterate.
2023-08-31 16:51:20		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:51:24		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:51:24		initialize selection method=last_iterate.
2023-08-31 16:51:24		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:51:28		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:51:28		initialize selection method=last_iterate.
2023-08-31 16:51:28		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:51:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:51:32		initialize selection method=last_iterate.
2023-08-31 16:51:32		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:51:36		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:51:36		initialize selection method=last_iterate.
2023-08-31 16:51:36		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:51:40		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:51:40		initialize selection method=last_iterate.
2023-08-31 16:51:40		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:51:43		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:51:43		initialize selection method=last_iterate.
2023-08-31 16:51:43		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:51:47		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:51:47		initialize selection method=last_iterate.
2023-08-31 16:51:47		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:51:51		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:51:51		initialize selection method=last_iterate.
2023-08-31 16:51:51		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:51:55		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:51:55		initialize selection method=last_iterate.
2023-08-31 16:51:55		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:51:59		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:51:59		initialize selection method=last_iterate.
2023-08-31 16:51:59		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:03		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:03		initialize selection method=last_iterate.
2023-08-31 16:52:03		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:06		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:06		initialize selection method=last_iterate.
2023-08-31 16:52:06		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:10		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:10		initialize selection method=last_iterate.
2023-08-31 16:52:10		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:14		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:14		initialize selection method=last_iterate.
2023-08-31 16:52:14		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:18		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:18		initialize selection method=last_iterate.
2023-08-31 16:52:18		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:22		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:22		initialize selection method=last_iterate.
2023-08-31 16:52:22		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:26		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:26		initialize selection method=last_iterate.
2023-08-31 16:52:26		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:30		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:30		initialize selection method=last_iterate.
2023-08-31 16:52:30		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:34		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:34		initialize selection method=last_iterate.
2023-08-31 16:52:34		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:38		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:38		initialize selection method=last_iterate.
2023-08-31 16:52:38		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:42		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:42		initialize selection method=last_iterate.
2023-08-31 16:52:42		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:46		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:47		initialize selection method=last_iterate.
2023-08-31 16:52:47		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:51		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:51		initialize selection method=last_iterate.
2023-08-31 16:52:51		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:52:55		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:52:55		initialize selection method=last_iterate.
2023-08-31 16:52:55		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:00		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:00		initialize selection method=last_iterate.
2023-08-31 16:53:00		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:04		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:04		initialize selection method=last_iterate.
2023-08-31 16:53:04		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:08		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:08		initialize selection method=last_iterate.
2023-08-31 16:53:08		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:13		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:13		initialize selection method=last_iterate.
2023-08-31 16:53:13		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:17		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:17		initialize selection method=last_iterate.
2023-08-31 16:53:17		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:22		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:22		initialize selection method=last_iterate.
2023-08-31 16:53:22		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:26		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:26		initialize selection method=last_iterate.
2023-08-31 16:53:26		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:31		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:31		initialize selection method=last_iterate.
2023-08-31 16:53:31		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:35		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:35		initialize selection method=last_iterate.
2023-08-31 16:53:35		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:39		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:39		initialize selection method=last_iterate.
2023-08-31 16:53:39		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:44		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:44		initialize selection method=last_iterate.
2023-08-31 16:53:44		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:48		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:48		initialize selection method=last_iterate.
2023-08-31 16:53:48		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:53		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:53		initialize selection method=last_iterate.
2023-08-31 16:53:53		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:53:57		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:53:57		initialize selection method=last_iterate.
2023-08-31 16:53:57		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:54:01		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:54:01		initialize selection method=last_iterate.
2023-08-31 16:54:01		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:54:05		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:54:05		initialize selection method=last_iterate.
2023-08-31 16:54:05		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:54:10		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:54:10		initialize selection method=last_iterate.
2023-08-31 16:54:10		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:54:14		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:54:14		initialize selection method=last_iterate.
2023-08-31 16:54:14		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:54:18		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:54:18		initialize selection method=last_iterate.
2023-08-31 16:54:18		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:54:22		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:54:22		initialize selection method=last_iterate.
2023-08-31 16:54:22		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:54:27		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:54:27		initialize selection method=last_iterate.
2023-08-31 16:54:27		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:54:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:54:32		initialize selection method=last_iterate.
2023-08-31 16:54:32		adapt the model for 1 steps with lr=0.001.
2023-08-31 16:54:36		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-08-31 16:54:36		initialize selection method=last_iterate.
2023-08-31 16:54:36		adapt the model for 1 steps with lr=0.001.
