2023-09-04 18:53:13	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='cotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-gaussian_noise-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='gaussian_noise', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HeterogeneousNoMixture(has_mixture=False, non_iid_pattern='class_wise_over_domain', non_iid_ness=0.1), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-04 18:53:20		initialize selection method=last_iterate.
2023-09-04 18:53:20		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:53:24		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:53:24		initialize selection method=last_iterate.
2023-09-04 18:53:24		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:53:28		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:53:28		initialize selection method=last_iterate.
2023-09-04 18:53:28		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:53:33		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:53:33		initialize selection method=last_iterate.
2023-09-04 18:53:33		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:53:37		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:53:37		initialize selection method=last_iterate.
2023-09-04 18:53:37		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:53:41		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:53:41		initialize selection method=last_iterate.
2023-09-04 18:53:41		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:53:45		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:53:45		initialize selection method=last_iterate.
2023-09-04 18:53:45		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:53:49		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:53:49		initialize selection method=last_iterate.
2023-09-04 18:53:49		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:53:53		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:53:53		initialize selection method=last_iterate.
2023-09-04 18:53:53		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:53:57		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:53:57		initialize selection method=last_iterate.
2023-09-04 18:53:57		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:54:01		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:54:01		initialize selection method=last_iterate.
2023-09-04 18:54:01		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:54:05		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:54:05		initialize selection method=last_iterate.
2023-09-04 18:54:05		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:54:09		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:54:09		initialize selection method=last_iterate.
2023-09-04 18:54:09		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:54:13		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:54:13		initialize selection method=last_iterate.
2023-09-04 18:54:13		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:54:17		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:54:17		initialize selection method=last_iterate.
2023-09-04 18:54:17		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:54:21		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:54:21		initialize selection method=last_iterate.
2023-09-04 18:54:21		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:54:25		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:54:25		initialize selection method=last_iterate.
2023-09-04 18:54:25		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:54:30		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:54:30		initialize selection method=last_iterate.
2023-09-04 18:54:30		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:54:34		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:54:34		initialize selection method=last_iterate.
2023-09-04 18:54:34		adapt the model for 1 steps with lr=0.001.
2023-09-04 18:54:38		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 18:54:38		initialize selection method=last_iterate.
2023-09-04 18:54:38		adapt the model for 1 steps with lr=0.001.
