2023-09-12 15:03:47	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='cotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-brightness-1', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=1, shift_name='brightness', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HeterogeneousNoMixture(has_mixture=False, non_iid_pattern='class_wise_over_domain', non_iid_ness=0.1), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-12 15:03:55		initialize selection method=last_iterate.
2023-09-12 15:03:55		adapt the model for 1 steps with lr=0.001.
2023-09-12 15:04:01		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-12 15:04:01		initialize selection method=last_iterate.
2023-09-12 15:04:01		adapt the model for 1 steps with lr=0.001.
2023-09-12 15:04:09		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-12 15:04:09		initialize selection method=last_iterate.
2023-09-12 15:04:09		adapt the model for 1 steps with lr=0.001.
2023-09-12 15:04:14		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-12 15:04:14		initialize selection method=last_iterate.
2023-09-12 15:04:14		adapt the model for 1 steps with lr=0.001.
2023-09-12 15:04:18		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-12 15:04:18		initialize selection method=last_iterate.
2023-09-12 15:04:18		adapt the model for 1 steps with lr=0.001.
2023-09-12 15:04:24		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-12 15:04:25		initialize selection method=last_iterate.
2023-09-12 15:04:25		adapt the model for 1 steps with lr=0.001.
2023-09-12 15:04:31		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-12 15:04:31		initialize selection method=last_iterate.
2023-09-12 15:04:31		adapt the model for 1 steps with lr=0.001.
2023-09-12 15:04:37		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-12 15:04:37		initialize selection method=last_iterate.
2023-09-12 15:04:37		adapt the model for 1 steps with lr=0.001.
2023-09-12 15:04:43		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
