2023-09-04 16:45:25	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-gaussian_noise-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='gaussian_noise', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HomogeneousNoMixture(has_mixture=False), batch_size=64, data_wise='sample_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-04 16:45:32		initialize selection method=last_iterate.
2023-09-04 16:45:32		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:45:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:45:32		initialize selection method=last_iterate.
2023-09-04 16:45:32		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:45:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:45:32		initialize selection method=last_iterate.
2023-09-04 16:45:32		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:45:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:45:32		initialize selection method=last_iterate.
2023-09-04 16:45:32		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:45:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:45:32		initialize selection method=last_iterate.
2023-09-04 16:45:32		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:45:33		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:45:33		initialize selection method=last_iterate.
2023-09-04 16:45:33		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:45:33		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:45:33		initialize selection method=last_iterate.
2023-09-04 16:45:33		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:45:33		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:45:33		initialize selection method=last_iterate.
2023-09-04 16:45:33		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:45:33		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:45:33		initialize selection method=last_iterate.
2023-09-04 16:45:33		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:45:33		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:45:33		initialize selection method=last_iterate.
2023-09-04 16:45:33		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:45:33		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:45:33		initialize selection method=last_iterate.
2023-09-04 16:45:33		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:45:34		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:45:34		initialize selection method=last_iterate.
2023-09-04 16:45:34		adapt the model for 1 steps with lr=0.001.
