2023-09-04 16:52:08	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-gaussian_noise-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='gaussian_noise', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=InOutMixture(has_mixture=True, ratio=0.5), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-04 16:52:15		initialize selection method=last_iterate.
2023-09-04 16:52:15		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:15		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:15		initialize selection method=last_iterate.
2023-09-04 16:52:15		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:16		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:16		initialize selection method=last_iterate.
2023-09-04 16:52:16		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:17		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:17		initialize selection method=last_iterate.
2023-09-04 16:52:17		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:18		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:18		initialize selection method=last_iterate.
2023-09-04 16:52:18		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:19		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:19		initialize selection method=last_iterate.
2023-09-04 16:52:19		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:20		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:20		initialize selection method=last_iterate.
2023-09-04 16:52:20		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:22		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:22		initialize selection method=last_iterate.
2023-09-04 16:52:22		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:23		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:23		initialize selection method=last_iterate.
2023-09-04 16:52:23		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:24		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:24		initialize selection method=last_iterate.
2023-09-04 16:52:24		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:25		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:25		initialize selection method=last_iterate.
2023-09-04 16:52:25		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:26		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:26		initialize selection method=last_iterate.
2023-09-04 16:52:26		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:27		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:27		initialize selection method=last_iterate.
2023-09-04 16:52:27		adapt the model for 1 steps with lr=0.001.
2023-09-04 16:52:28		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 16:52:28		initialize selection method=last_iterate.
2023-09-04 16:52:28		adapt the model for 1 steps with lr=0.001.
