2023-09-04 20:55:47	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-gaussian_noise-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='gaussian_noise', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HomogeneousNoMixture(has_mixture=False), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-04 20:55:54		initialize selection method=last_iterate.
2023-09-04 20:55:54		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:55:58		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:55:58		initialize selection method=last_iterate.
2023-09-04 20:55:58		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:02		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:02		initialize selection method=last_iterate.
2023-09-04 20:56:02		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:06		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:06		initialize selection method=last_iterate.
2023-09-04 20:56:06		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:10		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:10		initialize selection method=last_iterate.
2023-09-04 20:56:10		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:15		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:15		initialize selection method=last_iterate.
2023-09-04 20:56:15		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:19		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:19		initialize selection method=last_iterate.
2023-09-04 20:56:19		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:23		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:23		initialize selection method=last_iterate.
2023-09-04 20:56:23		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:27		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:27		initialize selection method=last_iterate.
2023-09-04 20:56:27		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:32		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:32		initialize selection method=last_iterate.
2023-09-04 20:56:32		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:36		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:36		initialize selection method=last_iterate.
2023-09-04 20:56:36		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:40		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:40		initialize selection method=last_iterate.
2023-09-04 20:56:40		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:44		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:44		initialize selection method=last_iterate.
2023-09-04 20:56:44		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:49		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:49		initialize selection method=last_iterate.
2023-09-04 20:56:49		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:53		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:53		initialize selection method=last_iterate.
2023-09-04 20:56:53		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:56:57		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:56:57		initialize selection method=last_iterate.
2023-09-04 20:56:57		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:01		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:01		initialize selection method=last_iterate.
2023-09-04 20:57:01		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:06		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:06		initialize selection method=last_iterate.
2023-09-04 20:57:06		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:10		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:10		initialize selection method=last_iterate.
2023-09-04 20:57:10		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:14		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:14		initialize selection method=last_iterate.
2023-09-04 20:57:14		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:19		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:19		initialize selection method=last_iterate.
2023-09-04 20:57:19		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:23		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:23		initialize selection method=last_iterate.
2023-09-04 20:57:23		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:27		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:27		initialize selection method=last_iterate.
2023-09-04 20:57:27		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:31		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:31		initialize selection method=last_iterate.
2023-09-04 20:57:31		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:36		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:36		initialize selection method=last_iterate.
2023-09-04 20:57:36		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:40		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:40		initialize selection method=last_iterate.
2023-09-04 20:57:40		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:44		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:44		initialize selection method=last_iterate.
2023-09-04 20:57:44		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:48		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:48		initialize selection method=last_iterate.
2023-09-04 20:57:48		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:53		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:53		initialize selection method=last_iterate.
2023-09-04 20:57:53		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:57:57		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:57:57		initialize selection method=last_iterate.
2023-09-04 20:57:57		adapt the model for 4 steps with lr=0.001.
2023-09-04 20:58:01		select the optimal model (4-th step and lr=0.001) for the current mini-batch.
2023-09-04 20:58:01		initialize selection method=last_iterate.
2023-09-04 20:58:01		adapt the model for 4 steps with lr=0.001.
