2023-09-04 21:49:33	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-defocus_blur-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='defocus_blur', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HeterogeneousNoMixture(has_mixture=False, non_iid_pattern='class_wise_over_domain', non_iid_ness=0.1), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-04 21:49:41		initialize selection method=last_iterate.
2023-09-04 21:49:41		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:41		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:41		initialize selection method=last_iterate.
2023-09-04 21:49:41		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:42		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:42		initialize selection method=last_iterate.
2023-09-04 21:49:42		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:42		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:42		initialize selection method=last_iterate.
2023-09-04 21:49:42		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:43		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:43		initialize selection method=last_iterate.
2023-09-04 21:49:43		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:43		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:43		initialize selection method=last_iterate.
2023-09-04 21:49:43		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:44		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:44		initialize selection method=last_iterate.
2023-09-04 21:49:44		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:45		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:45		initialize selection method=last_iterate.
2023-09-04 21:49:45		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:46		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:46		initialize selection method=last_iterate.
2023-09-04 21:49:46		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:47		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:47		initialize selection method=last_iterate.
2023-09-04 21:49:47		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:48		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:48		initialize selection method=last_iterate.
2023-09-04 21:49:48		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:49		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:49		initialize selection method=last_iterate.
2023-09-04 21:49:49		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:50		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:51		initialize selection method=last_iterate.
2023-09-04 21:49:51		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:52		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:52		initialize selection method=last_iterate.
2023-09-04 21:49:52		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:53		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:53		initialize selection method=last_iterate.
2023-09-04 21:49:53		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:54		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:54		initialize selection method=last_iterate.
2023-09-04 21:49:54		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:55		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:55		initialize selection method=last_iterate.
2023-09-04 21:49:55		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:56		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:56		initialize selection method=last_iterate.
2023-09-04 21:49:56		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:57		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:57		initialize selection method=last_iterate.
2023-09-04 21:49:57		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:58		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:58		initialize selection method=last_iterate.
2023-09-04 21:49:58		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:49:59		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:49:59		initialize selection method=last_iterate.
2023-09-04 21:49:59		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:01		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:01		initialize selection method=last_iterate.
2023-09-04 21:50:01		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:02		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:02		initialize selection method=last_iterate.
2023-09-04 21:50:02		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:03		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:03		initialize selection method=last_iterate.
2023-09-04 21:50:03		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:04		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:04		initialize selection method=last_iterate.
2023-09-04 21:50:04		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:05		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:05		initialize selection method=last_iterate.
2023-09-04 21:50:05		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:06		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:06		initialize selection method=last_iterate.
2023-09-04 21:50:06		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:07		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:07		initialize selection method=last_iterate.
2023-09-04 21:50:07		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:08		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:08		initialize selection method=last_iterate.
2023-09-04 21:50:08		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:09		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:10		initialize selection method=last_iterate.
2023-09-04 21:50:10		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:11		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:11		initialize selection method=last_iterate.
2023-09-04 21:50:11		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:12		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:12		initialize selection method=last_iterate.
2023-09-04 21:50:12		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:13		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:13		initialize selection method=last_iterate.
2023-09-04 21:50:13		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:14		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:14		initialize selection method=last_iterate.
2023-09-04 21:50:14		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:15		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:15		initialize selection method=last_iterate.
2023-09-04 21:50:15		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:16		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:16		initialize selection method=last_iterate.
2023-09-04 21:50:16		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:17		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:17		initialize selection method=last_iterate.
2023-09-04 21:50:17		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:18		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:18		initialize selection method=last_iterate.
2023-09-04 21:50:18		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:19		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:19		initialize selection method=last_iterate.
2023-09-04 21:50:19		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:20		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:20		initialize selection method=last_iterate.
2023-09-04 21:50:20		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:21		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:21		initialize selection method=last_iterate.
2023-09-04 21:50:21		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:50:23		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:50:23		initialize selection method=last_iterate.
