2023-09-04 21:53:31	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-contrast-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='contrast', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HeterogeneousNoMixture(has_mixture=False, non_iid_pattern='class_wise_over_domain', non_iid_ness=0.1), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-04 21:53:38		initialize selection method=last_iterate.
2023-09-04 21:53:38		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:39		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:39		initialize selection method=last_iterate.
2023-09-04 21:53:39		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:39		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:39		initialize selection method=last_iterate.
2023-09-04 21:53:39		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:40		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:40		initialize selection method=last_iterate.
2023-09-04 21:53:40		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:41		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:41		initialize selection method=last_iterate.
2023-09-04 21:53:41		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:42		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:42		initialize selection method=last_iterate.
2023-09-04 21:53:42		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:43		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:43		initialize selection method=last_iterate.
2023-09-04 21:53:43		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:44		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:44		initialize selection method=last_iterate.
2023-09-04 21:53:44		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:45		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:45		initialize selection method=last_iterate.
2023-09-04 21:53:45		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:46		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:46		initialize selection method=last_iterate.
2023-09-04 21:53:46		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:47		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:47		initialize selection method=last_iterate.
2023-09-04 21:53:47		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:48		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:48		initialize selection method=last_iterate.
2023-09-04 21:53:48		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:49		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:49		initialize selection method=last_iterate.
2023-09-04 21:53:49		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:50		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:50		initialize selection method=last_iterate.
2023-09-04 21:53:50		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:51		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:51		initialize selection method=last_iterate.
2023-09-04 21:53:51		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:52		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:52		initialize selection method=last_iterate.
2023-09-04 21:53:52		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:53		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:53		initialize selection method=last_iterate.
2023-09-04 21:53:53		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:54		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:54		initialize selection method=last_iterate.
2023-09-04 21:53:54		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:55		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:55		initialize selection method=last_iterate.
2023-09-04 21:53:55		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:56		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:56		initialize selection method=last_iterate.
2023-09-04 21:53:56		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:57		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:57		initialize selection method=last_iterate.
2023-09-04 21:53:57		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:58		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:58		initialize selection method=last_iterate.
2023-09-04 21:53:58		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:53:59		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:53:59		initialize selection method=last_iterate.
2023-09-04 21:53:59		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:00		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:00		initialize selection method=last_iterate.
2023-09-04 21:54:00		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:01		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:01		initialize selection method=last_iterate.
2023-09-04 21:54:01		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:02		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:02		initialize selection method=last_iterate.
2023-09-04 21:54:02		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:03		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:03		initialize selection method=last_iterate.
2023-09-04 21:54:03		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:04		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:04		initialize selection method=last_iterate.
2023-09-04 21:54:04		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:05		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:05		initialize selection method=last_iterate.
2023-09-04 21:54:05		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:06		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:06		initialize selection method=last_iterate.
2023-09-04 21:54:06		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:07		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:07		initialize selection method=last_iterate.
2023-09-04 21:54:07		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:08		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:08		initialize selection method=last_iterate.
2023-09-04 21:54:08		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:09		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:09		initialize selection method=last_iterate.
2023-09-04 21:54:09		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:10		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:10		initialize selection method=last_iterate.
2023-09-04 21:54:10		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:11		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:11		initialize selection method=last_iterate.
2023-09-04 21:54:11		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:12		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:12		initialize selection method=last_iterate.
2023-09-04 21:54:12		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:13		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:13		initialize selection method=last_iterate.
2023-09-04 21:54:13		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:14		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:14		initialize selection method=last_iterate.
2023-09-04 21:54:14		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:15		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:15		initialize selection method=last_iterate.
2023-09-04 21:54:15		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:16		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:16		initialize selection method=last_iterate.
2023-09-04 21:54:16		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:17		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:17		initialize selection method=last_iterate.
2023-09-04 21:54:17		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:18		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:18		initialize selection method=last_iterate.
2023-09-04 21:54:18		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:19		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:19		initialize selection method=last_iterate.
2023-09-04 21:54:19		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:20		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:20		initialize selection method=last_iterate.
2023-09-04 21:54:20		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:21		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:21		initialize selection method=last_iterate.
2023-09-04 21:54:21		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:22		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:22		initialize selection method=last_iterate.
2023-09-04 21:54:22		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:23		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:23		initialize selection method=last_iterate.
2023-09-04 21:54:23		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:24		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:24		initialize selection method=last_iterate.
2023-09-04 21:54:24		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:25		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:54:25		initialize selection method=last_iterate.
2023-09-04 21:54:25		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:54:26		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
