2023-09-05 16:38:35	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-elastic_transform-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='elastic_transform', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HeterogeneousNoMixture(has_mixture=False, non_iid_pattern='class_wise_over_domain', non_iid_ness=0.1), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-05 16:38:42		initialize selection method=last_iterate.
2023-09-05 16:38:42		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:38:43		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:38:43		initialize selection method=last_iterate.
2023-09-05 16:38:43		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:38:44		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:38:44		initialize selection method=last_iterate.
2023-09-05 16:38:44		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:38:46		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:38:46		initialize selection method=last_iterate.
2023-09-05 16:38:46		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:38:47		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:38:47		initialize selection method=last_iterate.
2023-09-05 16:38:47		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:38:48		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:38:48		initialize selection method=last_iterate.
2023-09-05 16:38:48		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:38:50		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:38:50		initialize selection method=last_iterate.
2023-09-05 16:38:50		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:38:51		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:38:51		initialize selection method=last_iterate.
2023-09-05 16:38:51		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:38:52		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:38:52		initialize selection method=last_iterate.
2023-09-05 16:38:52		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:38:54		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:38:54		initialize selection method=last_iterate.
2023-09-05 16:38:54		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:38:55		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:38:55		initialize selection method=last_iterate.
2023-09-05 16:38:55		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:38:57		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:38:57		initialize selection method=last_iterate.
2023-09-05 16:38:57		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:38:58		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:38:58		initialize selection method=last_iterate.
2023-09-05 16:38:58		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:39:00		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:39:00		initialize selection method=last_iterate.
2023-09-05 16:39:00		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:39:02		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:39:02		initialize selection method=last_iterate.
2023-09-05 16:39:02		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:39:03		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:39:03		initialize selection method=last_iterate.
2023-09-05 16:39:03		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:39:05		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:39:05		initialize selection method=last_iterate.
2023-09-05 16:39:05		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:39:06		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:39:06		initialize selection method=last_iterate.
2023-09-05 16:39:06		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:39:08		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:39:08		initialize selection method=last_iterate.
2023-09-05 16:39:08		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:39:09		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:39:09		initialize selection method=last_iterate.
2023-09-05 16:39:09		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:39:11		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:39:11		initialize selection method=last_iterate.
