2023-09-05 16:42:23	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-glass_blur-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='glass_blur', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HeterogeneousNoMixture(has_mixture=False, non_iid_pattern='class_wise_over_domain', non_iid_ness=0.1), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-05 16:42:30		initialize selection method=last_iterate.
2023-09-05 16:42:30		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:31		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:31		initialize selection method=last_iterate.
2023-09-05 16:42:31		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:31		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:31		initialize selection method=last_iterate.
2023-09-05 16:42:31		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:32		initialize selection method=last_iterate.
2023-09-05 16:42:32		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:33		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:33		initialize selection method=last_iterate.
2023-09-05 16:42:33		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:34		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:34		initialize selection method=last_iterate.
2023-09-05 16:42:34		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:35		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:35		initialize selection method=last_iterate.
2023-09-05 16:42:35		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:36		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:36		initialize selection method=last_iterate.
2023-09-05 16:42:36		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:37		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:37		initialize selection method=last_iterate.
2023-09-05 16:42:37		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:39		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:39		initialize selection method=last_iterate.
2023-09-05 16:42:39		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:40		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:40		initialize selection method=last_iterate.
2023-09-05 16:42:40		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:42		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:42		initialize selection method=last_iterate.
2023-09-05 16:42:42		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:43		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:43		initialize selection method=last_iterate.
2023-09-05 16:42:43		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:45		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:45		initialize selection method=last_iterate.
2023-09-05 16:42:45		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:47		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:47		initialize selection method=last_iterate.
2023-09-05 16:42:47		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:48		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:48		initialize selection method=last_iterate.
2023-09-05 16:42:48		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:50		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:50		initialize selection method=last_iterate.
2023-09-05 16:42:50		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:51		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:51		initialize selection method=last_iterate.
2023-09-05 16:42:51		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:53		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:53		initialize selection method=last_iterate.
2023-09-05 16:42:53		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:54		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:54		initialize selection method=last_iterate.
2023-09-05 16:42:54		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:56		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:56		initialize selection method=last_iterate.
2023-09-05 16:42:56		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:57		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:57		initialize selection method=last_iterate.
2023-09-05 16:42:57		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:42:59		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:42:59		initialize selection method=last_iterate.
2023-09-05 16:42:59		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:43:00		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:43:00		initialize selection method=last_iterate.
2023-09-05 16:43:00		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:43:02		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:43:02		initialize selection method=last_iterate.
2023-09-05 16:43:02		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:43:03		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:43:03		initialize selection method=last_iterate.
2023-09-05 16:43:03		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:43:05		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:43:05		initialize selection method=last_iterate.
2023-09-05 16:43:05		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:43:06		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:43:06		initialize selection method=last_iterate.
2023-09-05 16:43:06		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:43:08		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:43:08		initialize selection method=last_iterate.
2023-09-05 16:43:08		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:43:10		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:43:10		initialize selection method=last_iterate.
2023-09-05 16:43:10		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:43:11		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:43:11		initialize selection method=last_iterate.
2023-09-05 16:43:11		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:43:13		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:43:13		initialize selection method=last_iterate.
