2023-09-05 16:53:22	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-pixelate-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='pixelate', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HeterogeneousNoMixture(has_mixture=False, non_iid_pattern='class_wise_over_domain', non_iid_ness=0.1), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-05 16:53:29		initialize selection method=last_iterate.
2023-09-05 16:53:29		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:29		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:29		initialize selection method=last_iterate.
2023-09-05 16:53:29		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:30		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:30		initialize selection method=last_iterate.
2023-09-05 16:53:30		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:31		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:31		initialize selection method=last_iterate.
2023-09-05 16:53:31		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:32		initialize selection method=last_iterate.
2023-09-05 16:53:32		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:32		initialize selection method=last_iterate.
2023-09-05 16:53:32		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:33		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:33		initialize selection method=last_iterate.
2023-09-05 16:53:33		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:34		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:34		initialize selection method=last_iterate.
2023-09-05 16:53:34		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:35		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:35		initialize selection method=last_iterate.
2023-09-05 16:53:35		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:36		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:36		initialize selection method=last_iterate.
2023-09-05 16:53:36		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:37		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:37		initialize selection method=last_iterate.
2023-09-05 16:53:37		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:38		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:38		initialize selection method=last_iterate.
2023-09-05 16:53:38		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:39		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:39		initialize selection method=last_iterate.
2023-09-05 16:53:39		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:40		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:40		initialize selection method=last_iterate.
2023-09-05 16:53:40		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:41		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:41		initialize selection method=last_iterate.
2023-09-05 16:53:41		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:42		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:42		initialize selection method=last_iterate.
2023-09-05 16:53:42		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:43		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:43		initialize selection method=last_iterate.
2023-09-05 16:53:43		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:44		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:44		initialize selection method=last_iterate.
2023-09-05 16:53:44		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:45		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:45		initialize selection method=last_iterate.
2023-09-05 16:53:45		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:46		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:46		initialize selection method=last_iterate.
2023-09-05 16:53:46		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:47		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:47		initialize selection method=last_iterate.
2023-09-05 16:53:47		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:48		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:48		initialize selection method=last_iterate.
2023-09-05 16:53:48		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:49		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:50		initialize selection method=last_iterate.
2023-09-05 16:53:50		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:50		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:51		initialize selection method=last_iterate.
2023-09-05 16:53:51		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:51		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:52		initialize selection method=last_iterate.
2023-09-05 16:53:52		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:52		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:53		initialize selection method=last_iterate.
2023-09-05 16:53:53		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:54		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:54		initialize selection method=last_iterate.
2023-09-05 16:53:54		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:55		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:55		initialize selection method=last_iterate.
2023-09-05 16:53:55		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:56		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:56		initialize selection method=last_iterate.
2023-09-05 16:53:56		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:57		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:57		initialize selection method=last_iterate.
2023-09-05 16:53:57		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:58		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:58		initialize selection method=last_iterate.
2023-09-05 16:53:58		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:53:59		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:53:59		initialize selection method=last_iterate.
2023-09-05 16:53:59		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:00		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:00		initialize selection method=last_iterate.
2023-09-05 16:54:00		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:01		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:01		initialize selection method=last_iterate.
2023-09-05 16:54:01		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:03		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:03		initialize selection method=last_iterate.
2023-09-05 16:54:03		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:04		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:04		initialize selection method=last_iterate.
2023-09-05 16:54:04		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:06		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:06		initialize selection method=last_iterate.
2023-09-05 16:54:06		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:07		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:07		initialize selection method=last_iterate.
2023-09-05 16:54:07		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:09		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:09		initialize selection method=last_iterate.
2023-09-05 16:54:09		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:10		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:10		initialize selection method=last_iterate.
2023-09-05 16:54:10		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:12		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:12		initialize selection method=last_iterate.
2023-09-05 16:54:12		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:14		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:14		initialize selection method=last_iterate.
2023-09-05 16:54:14		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:15		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:15		initialize selection method=last_iterate.
2023-09-05 16:54:15		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:16		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:16		initialize selection method=last_iterate.
2023-09-05 16:54:16		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:18		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:18		initialize selection method=last_iterate.
2023-09-05 16:54:18		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:19		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:19		initialize selection method=last_iterate.
2023-09-05 16:54:19		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:20		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:20		initialize selection method=last_iterate.
2023-09-05 16:54:20		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:21		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:21		initialize selection method=last_iterate.
2023-09-05 16:54:21		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:22		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:22		initialize selection method=last_iterate.
2023-09-05 16:54:22		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:23		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:23		initialize selection method=last_iterate.
2023-09-05 16:54:23		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:24		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:24		initialize selection method=last_iterate.
2023-09-05 16:54:24		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:25		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:25		initialize selection method=last_iterate.
2023-09-05 16:54:25		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:26		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:26		initialize selection method=last_iterate.
2023-09-05 16:54:26		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:27		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:27		initialize selection method=last_iterate.
2023-09-05 16:54:27		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:28		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:28		initialize selection method=last_iterate.
2023-09-05 16:54:28		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:29		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:29		initialize selection method=last_iterate.
2023-09-05 16:54:29		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:30		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:30		initialize selection method=last_iterate.
2023-09-05 16:54:30		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:31		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:31		initialize selection method=last_iterate.
2023-09-05 16:54:31		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:32		initialize selection method=last_iterate.
2023-09-05 16:54:32		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:34		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:34		initialize selection method=last_iterate.
2023-09-05 16:54:34		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:35		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:35		initialize selection method=last_iterate.
2023-09-05 16:54:35		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:36		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:36		initialize selection method=last_iterate.
2023-09-05 16:54:36		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:37		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:37		initialize selection method=last_iterate.
2023-09-05 16:54:37		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:38		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:38		initialize selection method=last_iterate.
2023-09-05 16:54:38		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:39		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:39		initialize selection method=last_iterate.
2023-09-05 16:54:39		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:40		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:40		initialize selection method=last_iterate.
2023-09-05 16:54:40		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:41		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:41		initialize selection method=last_iterate.
2023-09-05 16:54:41		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:42		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:42		initialize selection method=last_iterate.
2023-09-05 16:54:42		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:43		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:43		initialize selection method=last_iterate.
2023-09-05 16:54:43		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:44		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:44		initialize selection method=last_iterate.
2023-09-05 16:54:44		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:45		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:45		initialize selection method=last_iterate.
2023-09-05 16:54:45		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:46		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:46		initialize selection method=last_iterate.
2023-09-05 16:54:46		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:47		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:47		initialize selection method=last_iterate.
2023-09-05 16:54:47		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:48		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:49		initialize selection method=last_iterate.
2023-09-05 16:54:49		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:50		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:50		initialize selection method=last_iterate.
2023-09-05 16:54:50		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:51		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:51		initialize selection method=last_iterate.
2023-09-05 16:54:51		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:52		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:52		initialize selection method=last_iterate.
2023-09-05 16:54:52		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:53		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:53		initialize selection method=last_iterate.
2023-09-05 16:54:53		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:54		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:54		initialize selection method=last_iterate.
2023-09-05 16:54:54		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:55		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:55		initialize selection method=last_iterate.
2023-09-05 16:54:55		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:57		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:57		initialize selection method=last_iterate.
2023-09-05 16:54:57		adapt the model for 1 steps with lr=0.001.
2023-09-05 16:54:58		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 16:54:58		initialize selection method=last_iterate.
2023-09-05 16:54:58		adapt the model for 1 steps with lr=0.001.
