2023-09-05 17:01:50	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-impulse_noise-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='impulse_noise', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HeterogeneousNoMixture(has_mixture=False, non_iid_pattern='class_wise_over_domain', non_iid_ness=0.1), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-05 17:01:57		initialize selection method=last_iterate.
2023-09-05 17:01:57		adapt the model for 1 steps with lr=0.001.
2023-09-05 17:01:57		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 17:01:57		initialize selection method=last_iterate.
2023-09-05 17:01:57		adapt the model for 1 steps with lr=0.001.
2023-09-05 17:01:58		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 17:01:58		initialize selection method=last_iterate.
2023-09-05 17:01:58		adapt the model for 1 steps with lr=0.001.
2023-09-05 17:01:58		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 17:01:58		initialize selection method=last_iterate.
2023-09-05 17:01:58		adapt the model for 1 steps with lr=0.001.
2023-09-05 17:01:59		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 17:01:59		initialize selection method=last_iterate.
2023-09-05 17:01:59		adapt the model for 1 steps with lr=0.001.
2023-09-05 17:02:00		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 17:02:00		initialize selection method=last_iterate.
2023-09-05 17:02:00		adapt the model for 1 steps with lr=0.001.
2023-09-05 17:02:01		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 17:02:01		initialize selection method=last_iterate.
2023-09-05 17:02:01		adapt the model for 1 steps with lr=0.001.
2023-09-05 17:02:02		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 17:02:02		initialize selection method=last_iterate.
2023-09-05 17:02:02		adapt the model for 1 steps with lr=0.001.
2023-09-05 17:02:03		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 17:02:03		initialize selection method=last_iterate.
2023-09-05 17:02:03		adapt the model for 1 steps with lr=0.001.
2023-09-05 17:02:04		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 17:02:04		initialize selection method=last_iterate.
2023-09-05 17:02:04		adapt the model for 1 steps with lr=0.001.
