2023-09-05 18:47:50	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-brightness-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='brightness', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HomogeneousNoMixture(has_mixture=False), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-05 18:47:58		initialize selection method=last_iterate.
2023-09-05 18:47:58		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:47:59		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:47:59		initialize selection method=last_iterate.
2023-09-05 18:47:59		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:00		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:00		initialize selection method=last_iterate.
2023-09-05 18:48:00		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:01		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:01		initialize selection method=last_iterate.
2023-09-05 18:48:01		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:02		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:02		initialize selection method=last_iterate.
2023-09-05 18:48:02		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:03		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:03		initialize selection method=last_iterate.
2023-09-05 18:48:03		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:04		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:04		initialize selection method=last_iterate.
2023-09-05 18:48:04		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:05		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:05		initialize selection method=last_iterate.
2023-09-05 18:48:05		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:06		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:06		initialize selection method=last_iterate.
2023-09-05 18:48:06		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:07		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:07		initialize selection method=last_iterate.
2023-09-05 18:48:07		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:08		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:08		initialize selection method=last_iterate.
2023-09-05 18:48:08		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:09		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:09		initialize selection method=last_iterate.
2023-09-05 18:48:09		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:10		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:10		initialize selection method=last_iterate.
2023-09-05 18:48:10		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:11		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:11		initialize selection method=last_iterate.
2023-09-05 18:48:12		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:12		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:12		initialize selection method=last_iterate.
2023-09-05 18:48:12		adapt the model for 1 steps with lr=0.001.
2023-09-05 18:48:14		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 18:48:14		initialize selection method=last_iterate.
2023-09-05 18:48:14		adapt the model for 1 steps with lr=0.001.
